Date,Details,Due
"Mon Mar 30, 2020",Calendar Event Classes start,12:00 AM
"Mon Apr 6, 2020",Calendar Event Project #0 due,12:00 AM
"Wed Apr 15, 2020",Calendar Event Project #1 due,12:00 AM
"Sat Apr 25, 2020",Calendar Event Project #2 due,12:00 AM
"Mon May 4, 2020",Calendar Event Project #3 due,12:00 AM
"Wed May 13, 2020",Calendar Event Project #4 due,12:00 AM
"Wed May 20, 2020",Calendar Event Project #5 due,12:00 AM
"Fri May 29, 2020",Calendar Event Project #6 due,12:00 AM
"Sun May 31, 2020",Calendar Event Quiz #9,12:00 AM
"Mon Jun 8, 2020",Calendar Event 575 Paper Project due,12:00 AM
,Calendar Event Project #7 due,12:00 AM
"Fri Apr 2, 2021",Assignment Quiz #1,due by 4pm
"Mon Apr 5, 2021",Assignment Project #0,due by 11:59pm
"Sun Apr 11, 2021",Assignment Quiz #2,due by 11:59pm
"Fri Apr 16, 2021",Assignment Project #1,due by 11:59pm
"Sun Apr 18, 2021",Assignment Quiz #3,due by 11:59pm
"Sun Apr 25, 2021",Assignment Quiz #4,due by 11:59pm
"Tue Apr 27, 2021",Assignment Project #2,due by 11:59pm
"Sun May 2, 2021",Assignment Quiz #5,due by 11:59pm
,Assignment Test #1,due by 11:59pm
"Wed May 5, 2021",Assignment Project #4,due by 11:59pm
"Sun May 9, 2021",Assignment Quiz #6,due by 11:59pm
"Sun May 16, 2021",Assignment Quiz #7,due by 11:59pm
"Wed May 19, 2021",Assignment Project #5,due by 11:59pm
"Sun May 23, 2021",Assignment Quiz #8,due by 11:59pm
"Sun May 30, 2021",Assignment Quiz #9,due by 11:59pm
,Assignment Project #6,due by 11:59pm
"Sun Jun 6, 2021",Assignment Quiz #10,due by 11:59pm
"Tue Jun 8, 2021",Assignment Paper Analysis Project,due by 11:59pm
,Assignment Project #7,due by 11:59pm
"Sun Jun 13, 2021",Assignment Test #2,due by 11:59pm
